transaction_id,user_id,amount,timestamp,beneficiary_id,beneficiary_new,device_id,device_new,location,transaction_frequency,fraud_label
TXN1072,user_hni_01,4926.12,2026-08-08 00:50:37,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Gurugram,4.1,0
TXN1063,user_std_02,304.55,2026-08-08 01:21:17,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,4.7,0
TXN1027,user_std_01,560.46,2026-08-08 01:48:46,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.5,0
TXN1036,user_std_02,279.75,2026-08-08 03:28:08,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,4.3,0
TXN1029,user_std_01,515.02,2026-08-08 18:21:01,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,1.9,0
TXN1017,user_std_01,746.22,2026-08-08 19:32:31,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,1.5,0
TXN1078,user_hni_01,18610.12,2026-08-08 20:41:44,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.6,0
TXN1079,user_hni_01,29933.58,2026-08-08 20:51:44,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,4.3,0
TXN1047,user_std_02,162.77,2026-08-08 23:25:08,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,3.2,0
TXN1004,user_std_01,1192.18,2026-08-09 00:37:17,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.6,0
TXN1085,user_hni_01,14733.21,2026-08-09 00:44:09,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.5,0
TXN1076,user_hni_01,18303.55,2026-08-09 01:39:54,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.2,0
TXN1025,user_std_01,846.21,2026-08-09 02:05:05,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,1.0,0
TXN1058,user_std_02,218.84,2026-08-09 05:06:22,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.6,0
TXN1013,user_std_01,597.57,2026-08-09 06:02:51,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.2,0
TXN1067,user_hni_01,8851.41,2026-08-09 18:45:27,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.3,0
TXN1054,user_std_02,447.48,2026-08-09 19:00:21,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,3.5,0
TXN1065,user_hni_01,17217.49,2026-08-09 20:37:16,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Gurugram,3.7,0
TXN1093,user_hni_01,14891.07,2026-08-10 00:20:13,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Gurugram,4.4,0
TXN1083,user_hni_01,23436.31,2026-08-10 01:04:45,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Gurugram,4.2,0
TXN1075,user_hni_01,20257.98,2026-08-10 21:51:12,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Delhi,4.2,0
TXN1042,user_std_02,402.57,2026-08-10 22:03:37,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,3.1,0
TXN1070,user_hni_01,22357.32,2026-08-11 02:08:12,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Delhi,3.3,0
TXN1069,user_hni_01,10860.58,2026-08-11 02:19:42,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Gurugram,3.8,0
TXN1074,user_hni_01,7593.95,2026-08-11 02:42:40,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,3.2,0
TXN1052,user_std_02,202.3,2026-08-11 04:13:45,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,2.9,0
TXN1031,user_std_01,615.83,2026-08-11 18:32:15,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai,2.0,0
TXN1005,user_std_01,618.55,2026-08-11 21:09:13,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.4,0
TXN1084,user_hni_01,22418.83,2026-08-11 23:57:34,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_IPHONE,0,Delhi,5.1,0
TXN1090,user_hni_01,14594.47,2026-08-12 04:43:51,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Gurugram,5.6,0
TXN1060,user_std_02,365.71,2026-08-12 07:59:26,BENEF_HOSTEL_MESS,0,DEV_POOJA_MOBILE,0,Bengaluru,3.9,0
TXN1103,user_hni_01,6580.78,2026-08-12 19:32:41,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Gurugram,3.4,0
TXN1011,user_std_01,1160.38,2026-08-12 20:42:17,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,2.0,0
TXN1050,user_std_02,240.56,2026-08-12 23:10:28,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.3,0
TXN1066,user_hni_01,5335.22,2026-08-12 23:27:38,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_IPHONE,0,Delhi,4.0,0
TXN1006,user_std_01,620.24,2026-08-13 18:22:54,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai,1.8,0
TXN1094,user_hni_01,19907.31,2026-08-13 22:48:53,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Delhi,4.0,0
TXN1019,user_std_01,808.48,2026-08-14 02:29:33,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,1.0,0
TXN1015,user_std_01,581.82,2026-08-14 03:29:09,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,1.9,0
TXN1035,user_std_01,851.26,2026-08-14 04:21:51,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,1.7,0
TXN1021,user_std_01,956.77,2026-08-14 19:29:00,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,2.2,0
TXN1068,user_hni_01,9880.15,2026-08-14 19:42:58,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_MAC,0,Delhi,4.9,0
TXN1033,user_std_01,977.51,2026-08-14 20:06:06,BENEF_CHAI_CORNER,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.9,0
TXN1086,user_hni_01,10095.5,2026-08-14 23:34:29,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,3.5,0
TXN1034,user_std_01,729.84,2026-08-15 00:55:46,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.7,0
TXN1087,user_hni_01,15944.87,2026-08-15 00:57:49,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.2,0
TXN1041,user_std_02,215.84,2026-08-15 06:46:50,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,3.6,0
TXN1082,user_hni_01,24841.89,2026-08-15 22:48:15,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Delhi,3.5,0
TXN1037,user_std_02,236.06,2026-08-15 22:55:59,BENEF_METRO_CARD,0,DEV_POOJA_MOBILE,0,Bengaluru,4.3,0
TXN1062,user_std_02,394.31,2026-08-16 00:19:52,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,2.6,0
TXN1007,user_std_01,817.75,2026-08-16 01:07:59,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.0,0
TXN1055,user_std_02,268.33,2026-08-16 03:45:27,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.4,0
TXN1073,user_hni_01,18371.16,2026-08-16 04:13:32,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Delhi,4.5,0
TXN1095,user_hni_01,10403.09,2026-08-16 18:47:34,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Delhi,3.1,0
TXN1104,user_lim_01,853.01,2026-08-16 20:27:23,BENEF_KIRANA_STORE,0,DEV_ROHAN_ANDROID,0,Hyderabad,1.3,0
TXN1089,user_hni_01,16593.61,2026-08-16 21:17:27,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Gurugram,4.9,0
TXN1049,user_std_02,272.57,2026-08-17 23:08:59,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.6,0
TXN1053,user_std_02,222.26,2026-08-18 02:16:57,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.6,0
TXN1032,user_std_01,440.23,2026-08-18 19:46:59,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.4,0
TXN1016,user_std_01,581.52,2026-08-19 01:16:47,BENEF_COLLEAGUE_RAVI,0,DEV_AARAV_PHONE,0,Mumbai Suburban,3.2,0
TXN1020,user_std_01,378.11,2026-08-19 05:17:49,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai Suburban,2.2,0
TXN1045,user_std_02,181.73,2026-08-19 22:37:38,BENEF_CANTEEN,0,DEV_POOJA_MOBILE,0,Bengaluru,3.7,0
TXN1046,user_std_02,250.68,2026-08-20 04:33:20,BENEF_XEROX,0,DEV_POOJA_MOBILE,0,Bengaluru,4.0,0
TXN1102,user_hni_01,24297.97,2026-08-20 19:50:36,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.6,0
TXN1081,user_hni_01,9482.29,2026-08-21 02:27:53,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Gurugram,4.5,0
TXN1071,user_hni_01,18137.71,2026-08-21 03:19:25,BENEF_LOGISTICS_EXP,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.8,0
TXN1099,user_hni_01,10136.23,2026-08-21 03:47:45,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_IPHONE,0,Gurugram,4.1,0
TXN1001,user_std_01,889.08,2026-08-21 18:01:47,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,2.0,0
TXN1096,user_hni_01,13285.09,2026-08-21 19:49:41,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_IPHONE,0,Delhi,4.5,0
TXN1022,user_std_01,717.62,2026-08-21 21:53:40,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai Suburban,1.9,0
TXN1028,user_std_01,1038.68,2026-08-21 22:28:57,BENEF_SUPERMART,0,DEV_AARAV_PHONE,0,Mumbai,2.7,0
TXN1092,user_hni_01,8789.57,2026-08-22 00:08:55,BENEF_DISTRIBUTOR_A,0,DEV_VIKRAM_MAC,0,Delhi,4.3,0
TXN1064,user_hni_01,9368.14,2026-08-22 02:25:43,BENEF_VENDOR_STEEL,0,DEV_VIKRAM_MAC,0,Delhi,3.7,0
TXN1008,user_std_01,267.02,2026-08-22 02:56:55,BENEF_LANDLORD,0,DEV_AARAV_PHONE,0,Mumbai,1.8,0
TXN1077,user_hni_01,11603.82,2026-08-22 03:12:45,BENEF_HOTEL_LUXE,0,DEV_VIKRAM_MAC,0,Gurugram,4.1,0
TXN1107,user_std_02,14000.0,2026-08-23 11:51:00,BENEF_GAMING_PORTAL,1,DEV_NEW_EMULATOR,1,Noida,6.5,1
TXN1106,user_std_01,28000.0,2026-08-23 12:32:00,BENEF_UNKNOWN_MULE,1,DEV_UNKNOWN_99,1,Kolkata,6.5,1
TXN1108,user_lim_01,42000.0,2026-08-23 13:42:00,BENEF_CRYPTO_SWAP,1,DEV_NEW_ROOTED_PHONE,1,Surat,6.5,1
